N,P,K,temperature,humidity,ph,rainfall,label
97.78,31.06,52.9,19.13,59.0,6.6,215.69,coffee
141.99,32.41,199.49,23.68,79.79,6.23,139.95,banana
116.3,37.17,73.66,36.28,71.96,5.99,174.42,sugarcane
31.49,25.28,59.56,29.58,50.83,7.08,120.09,mango
83.63,35.78,49.51,24.26,82.34,6.14,238.03,coffee
120.6,39.61,43.88,34.26,71.67,6.08,215.22,rice
110.44,52.84,92.77,24.76,74.19,6.31,95.47,potato
43.78,23.51,60.04,29.74,43.07,6.37,82.86,mango
99.25,65.79,101.25,22.55,78.5,4.82,37.64,potato
29.48,44.14,28.04,28.4,45.11,8.08,49.78,chickpea
35.09,23.58,39.84,32.65,44.69,6.55,96.14,mango
82.46,57.1,59.24,22.71,90.89,6.16,245.17,rice
42.31,52.15,28.16,22.61,51.59,6.83,45.12,chickpea
83.58,50.38,76.01,21.71,68.27,6.58,74.23,tomato
139.53,46.2,200.31,30.02,86.15,6.84,177.33,banana
34.85,34.32,40.97,32.56,37.29,6.91,79.66,mango
106.22,40.17,59.16,32.46,88.32,6.3,321.85,rice
95.9,35.59,143.51,26.6,86.94,5.47,200.58,banana
96.45,43.9,66.03,25.92,58.56,6.73,41.47,tomato
104.46,61.64,82.86,22.89,72.68,6.11,43.75,tomato
34.3,42.64,24.89,22.0,56.57,6.9,35.11,chickpea
77.95,23.19,49.07,27.55,62.38,6.26,263.74,coffee
17.15,40.0,42.3,28.64,38.18,6.37,44.61,chickpea
80.16,33.79,58.53,27.06,58.28,6.35,137.67,coffee
124.74,53.13,84.47,20.91,71.46,5.22,76.07,potato
93.83,38.01,52.61,17.58,61.11,7.16,84.04,maize
81.01,49.84,74.33,22.35,82.52,6.71,83.47,potato
47.14,41.72,45.65,28.63,60.11,6.06,100.87,mango
97.35,68.09,93.84,25.17,66.48,5.75,63.34,potato
101.08,29.77,51.4,22.0,75.4,5.98,141.32,coffee
32.53,31.53,46.76,29.09,45.03,7.68,92.09,mango
35.24,43.52,31.41,18.43,47.11,7.41,69.01,chickpea
82.27,37.22,58.78,19.95,73.02,6.46,164.55,coffee
22.36,47.54,33.53,22.79,53.7,7.87,43.37,chickpea
21.99,53.64,19.09,22.93,33.8,7.48,62.43,chickpea
79.1,18.43,58.5,17.98,62.64,6.36,160.37,coffee
72.6,39.44,30.83,13.08,45.02,6.02,78.27,wheat
103.27,60.9,44.8,17.99,61.46,6.1,113.55,maize
120.03,54.48,53.71,19.35,49.77,7.71,97.71,maize
100.53,73.29,88.23,36.01,72.17,5.84,159.67,sugarcane
106.89,41.15,54.51,20.83,54.09,5.62,76.93,maize
96.55,68.99,82.07,20.29,73.08,6.43,72.1,potato
128.64,32.3,50.74,32.61,61.15,7.24,111.28,cotton
123.24,53.95,54.24,24.64,70.53,6.53,78.69,maize
104.59,54.84,37.32,26.61,88.46,5.85,216.92,rice
